item,column,count,percent
Developers / engineering team,B4[SQ006]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [Developers / engineering team],0,0.0
Everyone in the team,B4[SQ010]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [Everyone in the team],0,0.0
I don’t know,B4[SQ012]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [I don’t know],0,0.0
External consultants or agencies,B4[SQ009]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [External consultants or agencies],0,0.0
Other,B4[other]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [Other],0,0.0
Knowledge managers / documentation specialists,B4[SQ008]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [Knowledge managers / documentation specialists],0,0.0
Project managers,B4[SQ007]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [Project managers],1,8.333333333333332
UX designers / product designers,B4[SQ003]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [UX designers / product designers],1,8.333333333333332
Requirements engineers / business analysts,B4[SQ005]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [Requirements engineers / business analysts],2,16.666666666666664
No one explicitly,B4[SQ011]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [No one explicitly],2,16.666666666666664
Product managers / product owners,B4[SQ004]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [Product managers / product owners],4,33.33333333333333
UX researchers,B4[SQ002]. Who is usually responsible for maintaining user research documentation? You can add a reason why this person is responsible in the comment box. [UX researchers],5,41.66666666666667
