item,column,count,percent
Other,"C3[other]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Other]",1,20.0
Suggesting codes or tags,"C3[SQ004]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Suggesting codes or tags]",1,20.0
Clustering observations or notes,"C3[SQ005]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Clustering observations or notes]",2,40.0
Coding qualitative material,"C3[SQ003]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Coding qualitative material]",2,40.0
Comparing findings across studies,"C3[SQ009]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Comparing findings across studies]",2,40.0
Drafting user needs or requirements,"C3[SQ011]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Drafting user needs or requirements]",2,40.0
Drafting design ideas or creating prototypes,"C3[SQ012]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Drafting design ideas or creating prototypes]",2,40.0
Drafting reports / stakeholder communication,"C3[SQ013]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Drafting reports / stakeholder communication]",3,60.0
Creating transcripts / translations from audio or video recordings,"C3[SQ001]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Creating transcripts / translations from audio or video recordings]",3,60.0
Identifying themes or patterns,"C3[SQ006]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Identifying themes or patterns]",3,60.0
Searching or retrieving previous findings,"C3[SQ008]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Searching or retrieving previous findings]",3,60.0
Linking insights to raw data,"C3[SQ007]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Linking insights to raw data]",3,60.0
"Creating UX artifacts for the context of use (e.g., personas, journeys, scenarios)","C3[SQ010]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Creating UX artifacts for the context of use (e.g., personas, journeys, scenarios)]",4,80.0
Summarizing / clustering,"C3[SQ002]. For which outputs or documentation tasks have you used AI? Please select tasks where AI helped you create, transform, structure, or draft documentation outputs. [Summarizing / clustering]",5,100.0
