item,column,count,percent
Other,"C4[other]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Other]",1,20.0
Commented prototypes,"C4[SQ009]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Commented prototypes]",1,20.0
Design decisions,"C4[SQ008]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Design decisions]",2,40.0
Requirements,"C4[SQ007]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Requirements]",2,40.0
"Audio recordings, videos, transcripts","C4[SQ001]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Audio recordings, videos, transcripts]",2,40.0
Stakeholder feedback,"C4[SQ010]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Stakeholder feedback]",2,40.0
Codes or coding schemes,"C4[SQ004]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Codes or coding schemes]",3,60.0
"Context-of-use information (e.g., Personas, user journey maps)","C4[SQ005]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Context-of-use information (e.g., Personas, user journey maps)]",3,60.0
"Workshop outputs, whiteboard content, affinity maps","C4[SQ003]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Workshop outputs, whiteboard content, affinity maps]",3,60.0
"Observations, survey responses, usability test notes","C4[SQ002]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Observations, survey responses, usability test notes]",4,80.0
Research reports,"C4[SQ006]. What types of existing material have you provided to AI as input? This includes material you pasted, uploaded, connected, imported, or otherwise processed with an AI-based tool. [Research reports]",4,80.0
