item,column,count,percent
Other,"E2[other]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Other]",0,0.0
Transcription / Translation,"E2[SQ001]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Transcription / Translation]",0,0.0
Report writing,"E2[SQ013]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Report writing]",1,14.285714285714285
Persona creation,"E2[SQ008]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Persona creation]",1,14.285714285714285
Summarization,"E2[SQ003]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Summarization]",1,14.285714285714285
Coding or tagging,"E2[SQ004]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Coding or tagging]",2,28.57142857142857
Clustering observations or notes,"E2[SQ005]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Clustering observations or notes]",2,28.57142857142857
Design recommendation creation,"E2[SQ010]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Design recommendation creation]",2,28.57142857142857
Journey map creation,"E2[SQ009]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Journey map creation]",2,28.57142857142857
Stakeholder communication,"E2[SQ014]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Stakeholder communication]",3,42.857142857142854
Theme identification or synthesis,"E2[SQ006]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Theme identification or synthesis]",3,42.857142857142854
Linking findings to source material,"E2[SQ011]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Linking findings to source material]",3,42.857142857142854
Formulating insight or finding statements,"E2[SQ007]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Formulating insight or finding statements]",6,85.71428571428571
Confidence or evidence quality assessment,"E2[SQ012]. In your opinion, which AI-supported documentation tasks require the most human oversight? Hint: Please select all tasks for which you think human oversight is especially important. [Confidence or evidence quality assessment]",6,85.71428571428571
